sample_id	md5sum	assembly
SAMEA104081269	7ff3fdb7fab4b5c9ae3b6f52dd8ac7ad	SAMEA104081269.contigs.fa.gz
SAMEA104081273	57eb1b99c69fc81cbdbf6b72d1c9bea3	SAMEA104081273.contigs.fa.gz
SAMEA104081285	c64822cae1b012e21baa54168e6f976a	SAMEA104081285.contigs.fa.gz
SAMEA104081288	13d7500101e7ee25785cb841883ec147	SAMEA104081288.contigs.fa.gz
SAMEA104081295	ca3419fd35ae0b2b76ba2f7e60e9737c	SAMEA104081295.contigs.fa.gz
SAMEA104081301	03d8d4644dbe20efeb79afe909ebacd9	SAMEA104081301.contigs.fa.gz
SAMEA104081303	03e022f5d2ffe98ffb3db2cd243fbe30	SAMEA104081303.contigs.fa.gz
SAMEA104081304	af232410a96e2dc2134e93ee2f6e58bf	SAMEA104081304.contigs.fa.gz
SAMEA104081305	d3930dc501a0c7bcd49ec2535e950d72	SAMEA104081305.contigs.fa.gz
SAMEA104081311	a0088e070ddf73fe5fadedfe4ad13c38	SAMEA104081311.contigs.fa.gz
SAMEA104081319	a8749fe1849a0b53fb65c1d79930f6bd	SAMEA104081319.contigs.fa.gz
SAMEA104081328	395d87cb5143307eb3cf24035b9676b4	SAMEA104081328.contigs.fa.gz
SAMEA104081335	184f16045d6c188407e4146453823d24	SAMEA104081335.contigs.fa.gz
SAMEA104081351	89714ae87a8e1d31678ad92f4426e780	SAMEA104081351.contigs.fa.gz
SAMEA104081353	366f72a22cfcfe9add1df30b74373300	SAMEA104081353.contigs.fa.gz
SAMEA104081355	031d91eb25d2dd346e9cdfe4592d14d1	SAMEA104081355.contigs.fa.gz
SAMEA104081377	c65bb23d86144446166f39633bda51f0	SAMEA104081377.contigs.fa.gz
SAMEA104081380	c3185b1b7f7430638da89df86e98036d	SAMEA104081380.contigs.fa.gz
SAMEA104081382	00d31bbe20af3f32f725dc27a6cf1f53	SAMEA104081382.contigs.fa.gz
SAMEA104081383	b535ed2ee1350010e6196858179b3414	SAMEA104081383.contigs.fa.gz
SAMEA104081392	edd8c943c47418755a3e9c7b6fada36f	SAMEA104081392.contigs.fa.gz
SAMEA104081408	375eafc40b95837596fa2cf0252eef50	SAMEA104081408.contigs.fa.gz
SAMEA104081414	e498484bd422b1ae587df96b73824186	SAMEA104081414.contigs.fa.gz
SAMEA104081419	12c20313cc7de924ed9d855a7eb0b28c	SAMEA104081419.contigs.fa.gz
SAMEA104081428	7239f6b3ad8a44a93c08be2b6c17c89b	SAMEA104081428.contigs.fa.gz
SAMEA104081440	9686c759d41a1abe0a961b7fe5ec9513	SAMEA104081440.contigs.fa.gz
SAMEA104081454	8381d0daac56e2e58cdc0e34767471d5	SAMEA104081454.contigs.fa.gz
SAMEA104081461	002e8be5390b9c4e317702d8945bc5a8	SAMEA104081461.contigs.fa.gz
SAMEA104081463	8c19b8cf8230c9745cc4c0ada1c6aa16	SAMEA104081463.contigs.fa.gz
SAMEA104081465	bac124d4e5552cb8a227a3fb8f63d383	SAMEA104081465.contigs.fa.gz
SAMEA104081467	f1b47032340d529be2853f0483e06999	SAMEA104081467.contigs.fa.gz
SAMEA104081478	1d7dcccbc64fa0659f955d033e9c0462	SAMEA104081478.contigs.fa.gz
SAMEA104081485	17ad5f7a86edab49b6caac47052a0726	SAMEA104081485.contigs.fa.gz
SAMEA104081489	de941db72face50c16ed35b7e37207d9	SAMEA104081489.contigs.fa.gz
SAMEA104081522	80a8e5327db4bb414cb47059ce53f91d	SAMEA104081522.contigs.fa.gz
SAMEA104081525	6005b5a7dcd4b8a23e875c93ea583f94	SAMEA104081525.contigs.fa.gz
SAMEA104081529	554edfb4583fa9147772d850e2fbbfb2	SAMEA104081529.contigs.fa.gz
SAMEA104081568	8e672dac32363f9b9729d313b48c1d62	SAMEA104081568.contigs.fa.gz
SAMEA104081571	a81bd6b91388549af1ffbf37d785eacb	SAMEA104081571.contigs.fa.gz
SAMEA104081572	87eff1e46dc937f899b563a452e0bd99	SAMEA104081572.contigs.fa.gz
SAMEA104081579	f8623ece7e6aac6c6881ba3f7d1a9749	SAMEA104081579.contigs.fa.gz
SAMEA104081583	c0338215f2277efbc6f0878f4e4d6fc1	SAMEA104081583.contigs.fa.gz
SAMEA104081586	f5707a660309c2abee67ebf204897c2c	SAMEA104081586.contigs.fa.gz
SAMEA104081602	c712f99feaf4451b2aff86d9126a0c29	SAMEA104081602.contigs.fa.gz
SAMEA104081624	65c6564c5818cf41cd038c28ccd4953f	SAMEA104081624.contigs.fa.gz
SAMEA104081637	65239d04460fc73f4848b87a6879c50e	SAMEA104081637.contigs.fa.gz
SAMEA104081641	b1c6aecd838abea71f8622953e39ae1d	SAMEA104081641.contigs.fa.gz
SAMEA104081647	64d8a3f92186e89dca45eac69e4edede	SAMEA104081647.contigs.fa.gz
SAMEA104081655	b9bb25a4129ec6cbf99465b5a021ebc2	SAMEA104081655.contigs.fa.gz
SAMEA104081659	d4e1984379fb5d5ee9a4880d2fb80b00	SAMEA104081659.contigs.fa.gz
SAMEA104081678	c5e7964360078134c623545021cd2b40	SAMEA104081678.contigs.fa.gz
SAMEA104081717	2acc85dfbc317b167629badd40854268	SAMEA104081717.contigs.fa.gz
SAMEA104081731	5e297ad9291d0d3255f79c7999a3df81	SAMEA104081731.contigs.fa.gz
